train_dur,replicate_num,model_name,checkpoint_path,labelmap_path,spect_scaler_path,dataset_path,avg_val_acc,avg_val_acc_tfm,avg_val_levenshtein,avg_val_levenshtein_tfm,avg_val_loss,avg_val_segment_error_rate,avg_val_segment_error_rate_tfm
30.0,1,TweetyNet,results/BFSongRepo/bl26lb16/TweetyNet/results_230629_173822/train_dur_30.0s/replicate_1/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/BFSongRepo/bl26lb16/TweetyNet/results_230629_173822/train_dur_30.0s/replicate_1/labelmap.json,results/BFSongRepo/bl26lb16/TweetyNet/results_230629_173822/train_dur_30.0s/replicate_1/StandardizeSpect,data/BFSongRepo/bl26lb16/041912-vak-frame-classification-dataset-generated-230629_172722,0.9756028652191162,0.9772369861602784,19.11111068725586,1.5555555820465088,0.156020700931549,0.1476414458895408,0.0114576840852152
30.0,2,TweetyNet,results/BFSongRepo/bl26lb16/TweetyNet/results_230629_173822/train_dur_30.0s/replicate_2/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/BFSongRepo/bl26lb16/TweetyNet/results_230629_173822/train_dur_30.0s/replicate_2/labelmap.json,results/BFSongRepo/bl26lb16/TweetyNet/results_230629_173822/train_dur_30.0s/replicate_2/StandardizeSpect,data/BFSongRepo/bl26lb16/041912-vak-frame-classification-dataset-generated-230629_172722,0.9697819948196412,0.9730411171913148,34.88888931274414,4.222222328186035,0.1763012260198593,0.2411185793678457,0.0299557030091452
30.0,3,TweetyNet,results/BFSongRepo/bl26lb16/TweetyNet/results_230629_173822/train_dur_30.0s/replicate_3/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/BFSongRepo/bl26lb16/TweetyNet/results_230629_173822/train_dur_30.0s/replicate_3/labelmap.json,results/BFSongRepo/bl26lb16/TweetyNet/results_230629_173822/train_dur_30.0s/replicate_3/StandardizeSpect,data/BFSongRepo/bl26lb16/041912-vak-frame-classification-dataset-generated-230629_172722,0.9688891172409058,0.9728480577468872,38.22222137451172,5.833333492279053,0.1556975543498993,0.2669484831570108,0.0418915991361123
30.0,4,TweetyNet,results/BFSongRepo/bl26lb16/TweetyNet/results_230629_173822/train_dur_30.0s/replicate_4/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/BFSongRepo/bl26lb16/TweetyNet/results_230629_173822/train_dur_30.0s/replicate_4/labelmap.json,results/BFSongRepo/bl26lb16/TweetyNet/results_230629_173822/train_dur_30.0s/replicate_4/StandardizeSpect,data/BFSongRepo/bl26lb16/041912-vak-frame-classification-dataset-generated-230629_172722,0.9703872203826904,0.9715836644172668,27.33333396911621,3.555555582046509,0.1435570269823074,0.1797697449082022,0.0233855781133537
30.0,5,TweetyNet,results/BFSongRepo/bl26lb16/TweetyNet/results_230629_173822/train_dur_30.0s/replicate_5/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/BFSongRepo/bl26lb16/TweetyNet/results_230629_173822/train_dur_30.0s/replicate_5/labelmap.json,results/BFSongRepo/bl26lb16/TweetyNet/results_230629_173822/train_dur_30.0s/replicate_5/StandardizeSpect,data/BFSongRepo/bl26lb16/041912-vak-frame-classification-dataset-generated-230629_172722,0.9525142312049866,0.954875111579895,51.27777862548828,8.38888931274414,0.2352658957242965,0.3430626515169119,0.0578442414040443
45.0,1,TweetyNet,results/BFSongRepo/bl26lb16/TweetyNet/results_230629_173822/train_dur_45.0s/replicate_1/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/BFSongRepo/bl26lb16/TweetyNet/results_230629_173822/train_dur_45.0s/replicate_1/labelmap.json,results/BFSongRepo/bl26lb16/TweetyNet/results_230629_173822/train_dur_45.0s/replicate_1/StandardizeSpect,data/BFSongRepo/bl26lb16/041912-vak-frame-classification-dataset-generated-230629_172722,0.9731652736663818,0.974793016910553,17.66666603088379,3.3888888359069824,0.1415081471204757,0.1235045458468699,0.023486692745244
45.0,2,TweetyNet,results/BFSongRepo/bl26lb16/TweetyNet/results_230629_173822/train_dur_45.0s/replicate_2/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/BFSongRepo/bl26lb16/TweetyNet/results_230629_173822/train_dur_45.0s/replicate_2/labelmap.json,results/BFSongRepo/bl26lb16/TweetyNet/results_230629_173822/train_dur_45.0s/replicate_2/StandardizeSpect,data/BFSongRepo/bl26lb16/041912-vak-frame-classification-dataset-generated-230629_172722,0.9700703024864196,0.9710829854011536,21.77777862548828,3.3888888359069824,0.152107760310173,0.1528360536542937,0.021537599577072
45.0,3,TweetyNet,results/BFSongRepo/bl26lb16/TweetyNet/results_230629_173822/train_dur_45.0s/replicate_3/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/BFSongRepo/bl26lb16/TweetyNet/results_230629_173822/train_dur_45.0s/replicate_3/labelmap.json,results/BFSongRepo/bl26lb16/TweetyNet/results_230629_173822/train_dur_45.0s/replicate_3/StandardizeSpect,data/BFSongRepo/bl26lb16/041912-vak-frame-classification-dataset-generated-230629_172722,0.972777783870697,0.9750998616218568,27.83333396911621,4.777777671813965,0.1364931017160415,0.1926428520979352,0.0339468028224944
45.0,4,TweetyNet,results/BFSongRepo/bl26lb16/TweetyNet/results_230629_173822/train_dur_45.0s/replicate_4/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/BFSongRepo/bl26lb16/TweetyNet/results_230629_173822/train_dur_45.0s/replicate_4/labelmap.json,results/BFSongRepo/bl26lb16/TweetyNet/results_230629_173822/train_dur_45.0s/replicate_4/StandardizeSpect,data/BFSongRepo/bl26lb16/041912-vak-frame-classification-dataset-generated-230629_172722,0.9709187746047974,0.9740833640098572,33.72222137451172,3.722222328186035,0.126182347536087,0.220520941089656,0.0268532605457116
45.0,5,TweetyNet,results/BFSongRepo/bl26lb16/TweetyNet/results_230629_173822/train_dur_45.0s/replicate_5/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/BFSongRepo/bl26lb16/TweetyNet/results_230629_173822/train_dur_45.0s/replicate_5/labelmap.json,results/BFSongRepo/bl26lb16/TweetyNet/results_230629_173822/train_dur_45.0s/replicate_5/StandardizeSpect,data/BFSongRepo/bl26lb16/041912-vak-frame-classification-dataset-generated-230629_172722,0.9730178117752076,0.9729703068733216,17.77777862548828,2.6666667461395264,0.1462033092975616,0.1307267850102741,0.0178824617666652
