train_dur,replicate_num,model_name,checkpoint_path,labelmap_path,spect_scaler_path,dataset_path,avg_val_acc,avg_val_acc_tfm,avg_val_levenshtein,avg_val_levenshtein_tfm,avg_val_loss,avg_val_segment_error_rate,avg_val_segment_error_rate_tfm
30.0,1,TweetyNet,results/BFSongRepo/gy6or6/TweetyNet/results_230629_210910/train_dur_30.0s/replicate_1/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/BFSongRepo/gy6or6/TweetyNet/results_230629_210910/train_dur_30.0s/replicate_1/labelmap.json,results/BFSongRepo/gy6or6/TweetyNet/results_230629_210910/train_dur_30.0s/replicate_1/StandardizeSpect,data/BFSongRepo/gy6or6/032212-vak-frame-classification-dataset-generated-230629_173148,0.9657077193260192,0.9676688313484192,14.771428108215332,3.5428571701049805,0.2111545950174331,0.1841659765702329,0.0458629527714248
30.0,2,TweetyNet,results/BFSongRepo/gy6or6/TweetyNet/results_230629_210910/train_dur_30.0s/replicate_2/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/BFSongRepo/gy6or6/TweetyNet/results_230629_210910/train_dur_30.0s/replicate_2/labelmap.json,results/BFSongRepo/gy6or6/TweetyNet/results_230629_210910/train_dur_30.0s/replicate_2/StandardizeSpect,data/BFSongRepo/gy6or6/032212-vak-frame-classification-dataset-generated-230629_173148,0.964547634124756,0.9693604707717896,19.85714340209961,2.485714197158813,0.1670553237199783,0.2650566617606208,0.0321388168261719
30.0,3,TweetyNet,results/BFSongRepo/gy6or6/TweetyNet/results_230629_210910/train_dur_30.0s/replicate_3/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/BFSongRepo/gy6or6/TweetyNet/results_230629_210910/train_dur_30.0s/replicate_3/labelmap.json,results/BFSongRepo/gy6or6/TweetyNet/results_230629_210910/train_dur_30.0s/replicate_3/StandardizeSpect,data/BFSongRepo/gy6or6/032212-vak-frame-classification-dataset-generated-230629_173148,0.9625808596611024,0.965944766998291,19.628570556640625,3.7142856121063232,0.185057058930397,0.2579429516378017,0.051218357688156
30.0,4,TweetyNet,results/BFSongRepo/gy6or6/TweetyNet/results_230629_210910/train_dur_30.0s/replicate_4/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/BFSongRepo/gy6or6/TweetyNet/results_230629_210910/train_dur_30.0s/replicate_4/labelmap.json,results/BFSongRepo/gy6or6/TweetyNet/results_230629_210910/train_dur_30.0s/replicate_4/StandardizeSpect,data/BFSongRepo/gy6or6/032212-vak-frame-classification-dataset-generated-230629_173148,0.9598843455314636,0.9639449119567872,27.91428565979004,3.485714197158813,0.1776172071695327,0.370199091333167,0.0458822854796833
30.0,5,TweetyNet,results/BFSongRepo/gy6or6/TweetyNet/results_230629_210910/train_dur_30.0s/replicate_5/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/BFSongRepo/gy6or6/TweetyNet/results_230629_210910/train_dur_30.0s/replicate_5/labelmap.json,results/BFSongRepo/gy6or6/TweetyNet/results_230629_210910/train_dur_30.0s/replicate_5/StandardizeSpect,data/BFSongRepo/gy6or6/032212-vak-frame-classification-dataset-generated-230629_173148,0.9657061696052552,0.9682092666625975,9.971428871154783,2.2285714149475098,0.1141858473420143,0.1318985453691893,0.0293495270413654
45.0,1,TweetyNet,results/BFSongRepo/gy6or6/TweetyNet/results_230629_210910/train_dur_45.0s/replicate_1/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/BFSongRepo/gy6or6/TweetyNet/results_230629_210910/train_dur_45.0s/replicate_1/labelmap.json,results/BFSongRepo/gy6or6/TweetyNet/results_230629_210910/train_dur_45.0s/replicate_1/StandardizeSpect,data/BFSongRepo/gy6or6/032212-vak-frame-classification-dataset-generated-230629_173148,0.9720206260681152,0.9734532237052916,12.114285469055176,1.914285659790039,0.1647263616323471,0.1529663112747041,0.02611289366412
45.0,2,TweetyNet,results/BFSongRepo/gy6or6/TweetyNet/results_230629_210910/train_dur_45.0s/replicate_2/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/BFSongRepo/gy6or6/TweetyNet/results_230629_210910/train_dur_45.0s/replicate_2/labelmap.json,results/BFSongRepo/gy6or6/TweetyNet/results_230629_210910/train_dur_45.0s/replicate_2/StandardizeSpect,data/BFSongRepo/gy6or6/032212-vak-frame-classification-dataset-generated-230629_173148,0.963805377483368,0.9658814668655396,19.457143783569336,4.314285755157471,0.1559523642063141,0.2490177400379104,0.0531374990037272
45.0,3,TweetyNet,results/BFSongRepo/gy6or6/TweetyNet/results_230629_210910/train_dur_45.0s/replicate_3/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/BFSongRepo/gy6or6/TweetyNet/results_230629_210910/train_dur_45.0s/replicate_3/labelmap.json,results/BFSongRepo/gy6or6/TweetyNet/results_230629_210910/train_dur_45.0s/replicate_3/StandardizeSpect,data/BFSongRepo/gy6or6/032212-vak-frame-classification-dataset-generated-230629_173148,0.970199465751648,0.9721878170967102,13.828571319580078,2.3714284896850586,0.1700098365545272,0.176491885126767,0.0314961683635573
45.0,4,TweetyNet,results/BFSongRepo/gy6or6/TweetyNet/results_230629_210910/train_dur_45.0s/replicate_4/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/BFSongRepo/gy6or6/TweetyNet/results_230629_210910/train_dur_45.0s/replicate_4/labelmap.json,results/BFSongRepo/gy6or6/TweetyNet/results_230629_210910/train_dur_45.0s/replicate_4/StandardizeSpect,data/BFSongRepo/gy6or6/032212-vak-frame-classification-dataset-generated-230629_173148,0.962965190410614,0.965412139892578,13.114285469055176,2.171428680419922,0.2063554972410202,0.1632227274482114,0.0278498308941491
45.0,5,TweetyNet,results/BFSongRepo/gy6or6/TweetyNet/results_230629_210910/train_dur_45.0s/replicate_5/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/BFSongRepo/gy6or6/TweetyNet/results_230629_210910/train_dur_45.0s/replicate_5/labelmap.json,results/BFSongRepo/gy6or6/TweetyNet/results_230629_210910/train_dur_45.0s/replicate_5/StandardizeSpect,data/BFSongRepo/gy6or6/032212-vak-frame-classification-dataset-generated-230629_173148,0.975542426109314,0.9769087433815002,6.314285755157471,1.628571391105652,0.1238749474287033,0.0804244199228932,0.0228434337134012
75.0,1,TweetyNet,results/BFSongRepo/gy6or6/TweetyNet/results_230629_210910/train_dur_75.0s/replicate_1/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/BFSongRepo/gy6or6/TweetyNet/results_230629_210910/train_dur_75.0s/replicate_1/labelmap.json,results/BFSongRepo/gy6or6/TweetyNet/results_230629_210910/train_dur_75.0s/replicate_1/StandardizeSpect,data/BFSongRepo/gy6or6/032212-vak-frame-classification-dataset-generated-230629_173148,0.9784268140792848,0.9798473715782166,5.885714054107666,0.800000011920929,0.0734411403536796,0.0778519745559767,0.0104154089955583
